System,Cause,Effect,Standardized_linkage_strength
Gv,Richness,Biomass,0.410505217
Gv,Richness,NO3,0.494903778
Gv,Richness,PO4,0.761773328
Gv,Biomass,Richness,0.356465738
Gv,Biomass,NO3,0.607774284
Gv,Biomass,PO4,0.554549176
Gv,Temperature,Richness,1
Gv,Temperature,Biomass,0.368102107
Gv,NO3,Richness,0.269048237
Gv,NO3,Biomass,0.582050364
Gv,PO4,Richness,0.761002054
Gv,PO4,Biomass,0.367499925
Bw,Richness,Biomass,0.657797689
Bw,Richness,NO3,0.715620269
Bw,Richness,PO4,0.616635414
Bw,Biomass,Richness,0.631752421
Bw,Biomass,NO3,1
Bw,Biomass,PO4,0.595668869
Bw,Temperature,Richness,0.288901699
Bw,Temperature,Biomass,0.881263757
Bw,NO3,Richness,0.89734192
Bw,NO3,Biomass,0.730337806
Bw,PO4,Richness,0.885530038
Bw,PO4,Biomass,0.843367575
Ks3,Richness,Biomass,0.738974765
Ks3,Richness,NO3,1
Ks3,Richness,PO4,0.115156794
Ks3,Biomass,Richness,0.665150715
Ks3,Biomass,NO3,0.626864021
Ks3,Biomass,PO4,0.457378431
Ks3,Temperature,Richness,0.181644625
Ks3,Temperature,Biomass,0.378702779
Ks3,NO3,Richness,0.74910877
Ks3,NO3,Biomass,0.664581847
Ks3,PO4,Richness,0.374131115
Ks3,PO4,Biomass,0.326987512
Ks9,Richness,Biomass,0.58584844
Ks9,Richness,NO3,0.690632931
Ks9,Richness,PO4,0.747355876
Ks9,Biomass,Richness,0.653436182
Ks9,Biomass,NO3,0.918076625
Ks9,Biomass,PO4,0.763850201
Ks9,Temperature,Richness,0.249311937
Ks9,Temperature,Biomass,0.366770318
Ks9,NO3,Richness,0.684233363
Ks9,NO3,Biomass,1
Ks9,PO4,Richness,0.622892929
Ks9,PO4,Biomass,0.784731589
Me,Richness,Biomass,0.250667427
Me,Richness,NO3,0.626023746
Me,Richness,PO4,0.55164609
Me,Biomass,Richness,0.249894738
Me,Biomass,NO3,0.44137316
Me,Biomass,PO4,1
Me,Temperature,Richness,0.609782346
Me,Temperature,Biomass,0.721000555
Me,NO3,Richness,0.314409314
Me,NO3,Biomass,0.300596554
Me,PO4,Richness,0.3760145
Me,PO4,Biomass,0.797411907
Mo,Richness,Biomass,0.307957776
Mo,Richness,NO3,0.150552001
Mo,Richness,PO4,0.584570121
Mo,Biomass,Richness,0.436483127
Mo,Biomass,NO3,0.294385596
Mo,Biomass,PO4,0.391106194
Mo,Temperature,Richness,0.395374836
Mo,Temperature,Biomass,1
Mo,NO3,Richness,0.212198227
Mo,NO3,Biomass,0.8900711
Mo,PO4,Richness,0.170923568
Mo,PO4,Biomass,0.656590785
Mu,Richness,Biomass,0.517595667
Mu,Richness,NO3,1
Mu,Richness,PO4,0.896091993
Mu,Biomass,Richness,0.294659507
Mu,Biomass,NO3,0.614728796
Mu,Biomass,PO4,0.524351125
Mu,Temperature,Richness,0.250759595
Mu,Temperature,Biomass,0.382261855
Mu,NO3,Richness,0.913426199
Mu,NO3,Biomass,0.451336192
Mu,PO4,Richness,0.840601576
Mu,PO4,Biomass,0.669738296
Ng,Richness,Biomass,0.612181605
Ng,Richness,NO3,0.615244195
Ng,Richness,PO4,0.344303488
Ng,Biomass,Richness,0.631807262
Ng,Biomass,NO3,1
Ng,Biomass,PO4,0.497577887
Ng,Temperature,Richness,0.489524061
Ng,Temperature,Biomass,0.117373816
Ng,NO3,Richness,0.167760188
Ng,NO3,Biomass,0.394213807
Ng,PO4,Richness,0.417354498
Ng,PO4,Biomass,0.575555636
Wc,Richness,Biomass,0.941791199
Wc,Richness,NO3,0.44953439
Wc,Richness,PO4,0.973055573
Wc,Biomass,Richness,0.790386959
Wc,Biomass,NO3,0.212608058
Wc,Biomass,PO4,0.78530453
Wc,Temperature,Richness,0.763868609
Wc,Temperature,Biomass,0.29874122
Wc,NO3,Richness,0.747741188
Wc,NO3,Biomass,0.645518054
Wc,PO4,Richness,1
Wc,PO4,Biomass,0.694321663
Ft,Richness,Biomass,0.198865392
Ft,Richness,NO3,0.701168825
Ft,Richness,PO4,0.312033231
Ft,Biomass,Richness,0.172360636
Ft,Biomass,NO3,0.115096147
Ft,Biomass,PO4,0.194895564
Ft,Temperature,Richness,0.179492595
Ft,Temperature,Biomass,0.10066666
Ft,NO3,Richness,1
Ft,NO3,Biomass,0.483598189
Ft,PO4,Richness,0.209198547
Ft,PO4,Biomass,0.468907494
